date,company,email,persona,cv,subject,status
2026-05-29,Nusuk Platform,info@nusuk.sa,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Nusuk Platform,sent
2026-06-05,Mouwasat Medical Services,hr@mouwasat.com,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Mouwasat Medical Services,sent
2026-06-05,Saudi German Health,careers@saudigerman.com,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Saudi German Health,sent
2026-06-05,flynas,recruitment@flynas.com,hr_director,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in flynas,sent
2026-06-05,Abdullah Al Othaim Markets,hr@othaimmarkets.com,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Abdullah Al Othaim Markets,sent
2026-06-11,Sara United Company,mnagah@sara.com.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Sara United Company,sent
2026-06-11,Anjum Hotel Makkah,HR@anjumhotels.com,hr_director,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Anjum Hotel Makkah,sent
2026-06-28,Elaf Group,career@elafgroup.com,hr_director,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Elaf Group,sent
2026-06-28,Webedia Arabia,contact@webedia-arabia.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Webedia Arabia,sent
2026-06-28,Dar Al Arkan,info@alarkan.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Dar Al Arkan,sent
2026-06-28,The Social Clinic,info@socialclinic.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in The Social Clinic,sent
2026-06-28,Robert Walters Middle East,saudi@robertwalters.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Robert Walters Middle East,sent
2026-06-28,Charterhouse Middle East,info@charterhouse.ae,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Charterhouse Middle East,sent
2026-06-28,Marc Ellis,enquiry@marc-ellis.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Marc Ellis,sent
2026-06-28,Kershaw Leonard,mike@kershawleonard.net,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Kershaw Leonard,sent
2026-07-08,Prezlab,Careers@prezlab.com,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Prezlab,sent
2026-07-08,Fullstop Advertising,hireme@fullstop.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Fullstop Advertising,sent
2026-07-08,Brand Lounge,info@brandloungeme.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Brand Lounge,sent
2026-07-08,Bassmat Digital Agency,hi@bassmat.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Bassmat Digital Agency,sent
2026-07-08,CreativeBlend,hr@creativeblend.com.sa,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in CreativeBlend,sent
2026-07-08,PENCIL,hello@pencil.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in PENCIL,sent
2026-07-08,Global Digital Creative (GDC),sales@gdc-graphics.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Global Digital Creative (GDC),sent
2026-07-08,Digital Wasfa,info@digitalwasfa.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Digital Wasfa,sent
2026-07-08,Red Impact (Redimpact Arabia),info@redimpactarabia.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Red Impact (Redimpact Arabia),sent
2026-07-08,MAZ NEXA,support@maznexa.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in MAZ NEXA,sent
2026-07-08,RAM,hello@ram.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in RAM,sent
2026-07-08,Millimeter Creative Agency,hello@millimeter.agency,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Millimeter Creative Agency,sent
2026-07-08,WCM Agency,hello@wcmagency.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in WCM Agency,sent
2026-07-08,Digital World Advertising Agency,info@digitalworldagency.net,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Digital World Advertising Agency,sent
2026-07-08,Data Wide,info@data-wide.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Data Wide,sent
2026-07-08,Braira Hotels & Resorts,info@brairahotels.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Braira Hotels & Resorts,sent
2026-07-08,The Venue Jeddah Corniche,hr@the-venue.com,hr_director,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in The Venue Jeddah Corniche,sent
2026-07-09,Habitat Hotel All Suites,hrd@habitathotel.com.sa,hr_director,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Habitat Hotel All Suites,sent
2026-07-09,Maden Hotels,info@madenhotels.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Maden Hotels,sent
2026-07-09,Ruve Hotel Jeddah,rsvn@ruvejeddah.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Ruve Hotel Jeddah,sent
2026-07-09,Emaar Elite Hotels,sales@emaarelite.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Emaar Elite Hotels,sent
2026-07-09,Al Kiswah Towers Hotel,Alkiswahdh@gmail.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Al Kiswah Towers Hotel,sent
2026-07-09,Retaj Hotels & Hospitality,info@retaj-hotels.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Retaj Hotels & Hospitality,sent
2026-07-09,Swiss International Hotels & Resorts,info@swissinternationalhotels.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Swiss International Hotels & Resorts,sent
2026-07-09,Swiss Hospitality Company,info@swisshospitality.sa,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Swiss Hospitality Company,sent
2026-07-09,Danah United Real Estate (Al Rashid Mall),Hr@danah.com.sa,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Danah United Real Estate (Al Rashid Mall),sent
2026-07-09,Al Othaim Malls (Abdullah Al Othaim Investment),info@othaimmalls.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Al Othaim Malls (Abdullah Al Othaim Investment),sent
2026-07-09,Al Othaim Investment Company,info@alothaiminvestment.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Al Othaim Investment Company,sent
2026-07-09,Alandalus Property Company,mail@alandalus.com.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Alandalus Property Company,sent
2026-07-09,Cenomi Centers (Arabian Centres),cenomi@cenomicenters.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Cenomi Centers (Arabian Centres),sent
2026-07-09,Fitaihi Holding Group,sh@fitaihi.com.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Fitaihi Holding Group,sent
2026-07-09,Heraa Mall,info@heraa-mall.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Heraa Mall,sent
2026-07-09,Saudi Real Estate Company (Al Akaria),info@al-akaria.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Saudi Real Estate Company (Al Akaria),sent
2026-07-09,Hamat Property Company (Panorama Mall),crm@hamat.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Hamat Property Company (Panorama Mall),sent
2026-07-10,SEDCO Holding (SEDCO Development),info@sedco.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in SEDCO Holding (SEDCO Development),sent
2026-07-10,Jabal Omar Development Company,support@jabalomar.com.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Jabal Omar Development Company,sent
2026-07-10,Makkah Construction & Development Company (MCDC),info@mcdc.com.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Makkah Construction & Development Company (MCDC),sent
2026-07-10,Dar Al Omran,dao-saudia@daralomran.com.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Dar Al Omran,sent
2026-07-10,SEDCO Capital,info@sedcocapital.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in SEDCO Capital,sent
2026-07-10,Almana Group of Hospitals,career@almanahospital.com.sa,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Almana Group of Hospitals,sent
2026-07-10,Dr. Samir Abbas Hospital,careers@dsah.sa,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Dr. Samir Abbas Hospital,sent
2026-07-10,Beech Hall School Riyadh,hr@beechhallschoolriyadh.com,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Beech Hall School Riyadh,sent
2026-07-10,GEMS American International School Riyadh (SEP-KSA),Recruitment@sep-ksa.com,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in GEMS American International School Riyadh (SEP-KSA),sent
2026-07-10,Downe House Riyadh,careers@downehouseriyadh.com,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Downe House Riyadh,sent
2026-07-10,American International School Riyadh (AISR),join_us@aisr.org,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in American International School Riyadh (AISR),sent
2026-07-10,Dar Al Hekma University,jobs@dah.edu.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Dar Al Hekma University,sent
2026-07-10,Jeddah Knowledge International School (JKS),jksinfo@jks.edu.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Jeddah Knowledge International School (JKS),sent
2026-07-10,Al Salama Hospital,info@alsalamahospital.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Al Salama Hospital,sent
2026-07-10,International Gulf Medical Clinics (IGMC),info@igmc.io,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in International Gulf Medical Clinics (IGMC),sent
2026-07-10,Eventana,info@eventana.net,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Eventana,sent
2026-07-10,Shine Event Staffing,hello@letsshineksa.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Shine Event Staffing,sent
2026-07-11,Relia (Al Quraishi Marketing),careers@relia-me.com,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Relia (Al Quraishi Marketing),sent
2026-07-11,Blink Experience,info@blinkexperience.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Blink Experience,sent
2026-07-11,Entourage Marketing & Events,info@entourageintl.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Entourage Marketing & Events,sent
2026-07-11,Focal Point (FP Group),info@focalpoint.group,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Focal Point (FP Group),sent
2026-07-11,Benchmark,info@benchmarkksa.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Benchmark,sent
2026-07-11,Halwani Bros,info@halwani.com.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Halwani Bros,sent
2026-07-11,Etihad Golden Falcons,sales@etihad-gf.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Etihad Golden Falcons,sent
2026-07-11,eDirect,info@edirect.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in eDirect,sent
2026-07-11,Rafal Advertising,info@rafal-adv.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Rafal Advertising,sent
2026-07-11,Cross Arabia,HR@crossarabia.com,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Cross Arabia,sent
2026-07-12,PayTabs,hrdept@paytabs.com,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in PayTabs,sent
2026-07-12,Innosoft,jobs@innosoft.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Innosoft,sent
2026-07-12,Geidea,contacts@geidea.net,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Geidea,sent
2026-07-12,Lendo,support@lendo.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Lendo,sent
2026-07-12,Foodics,info@foodics.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Foodics,sent
2026-07-12,Mozn,info@mozn.ai,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Mozn,sent
2026-07-12,Moyasar,info@moyasar.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Moyasar,sent
2026-07-12,Drahim,contact@drahim.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Drahim,sent
2026-07-12,Penny Software,info@penny.co,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Penny Software,sent
2026-07-12,Alraedah Digital Solutions,care@alraedah.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Alraedah Digital Solutions,sent
2026-07-12,Funding Souq,support@fundingsouq.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Funding Souq,sent
2026-07-12,Salasa,info@salasa.co,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Salasa,sent
2026-07-12,Ejada Systems,info@ejada.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Ejada Systems,sent
2026-07-12,Al Moammar Information Systems (MIS),info@mis.com.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Al Moammar Information Systems (MIS),sent
2026-07-12,Naseej,info@naseej.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Naseej,sent
2026-07-12,HyperPay,bd@hyperpay.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in HyperPay,sent
2026-07-12,Herfy Food Services Co.,job@herfy.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Herfy Food Services Co.,sent
2026-07-13,Maestro Pizza (Daily Food Co.),recruitment@dailyfoodsa.com,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Maestro Pizza (Daily Food Co.),sent
2026-07-13,Shahia Food Ltd. (Dunkin' Donuts KSA franchisee),careers@dunkindonuts.sa,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Shahia Food Ltd. (Dunkin' Donuts KSA franchisee),sent
2026-07-13,Arby's KSA (Shahia Food Ltd.),careers@arbysksa.com,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Arby's KSA (Shahia Food Ltd.),sent
2026-07-13,Alamar Foods (Domino's Pizza MENAP),info@alamar.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Alamar Foods (Domino's Pizza MENAP),sent
2026-07-13,Sunbulah Group,info@sunbulahgroup.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Sunbulah Group,sent
2026-07-13,Half Million Coffee,customercare@halfm.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Half Million Coffee,sent
2026-07-13,Diyafa Saudi Hospitality Company (catering),info@diyafa.com.sa,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Diyafa Saudi Hospitality Company (catering),sent
2026-07-13,Tamimi Global Co. (TAFGA),info@tamimiglobal.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Tamimi Global Co. (TAFGA),sent
2026-07-13,Naqel Express,Saudi.jobs@naqel.com.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Naqel Express,sent
2026-07-13,Four Winds Saudi Arabia (Logistics),career@fourwinds-ksa.com,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Four Winds Saudi Arabia (Logistics),sent
2026-07-13,Budget Saudi Arabia (United International Transportation Co.),jobs@budgetsaudi.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Budget Saudi Arabia (United International Transportation Co.),sent
2026-07-13,Aljomaih Automotive Company (General Motors distributor),careers@aljomaihauto.com,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Aljomaih Automotive Company (General Motors distributor),sent
2026-07-13,Namma Cargo Services,namma@nammacargo.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Namma Cargo Services,sent
2026-07-13,"Kia Aljabr (Aljabr Trading Co., Kia distributor)",info@aljabr.com.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,"Senior Digital Marketing Manager — interest in Kia Aljabr (Aljabr Trading Co., Kia distributor)",sent
2026-07-13,Petromin Corporation,info@petromin.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Petromin Corporation,sent
2026-07-13,Al-Khaldi Logistics (Al-Khaldi Holding),info@al-khaldi.com.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Al-Khaldi Logistics (Al-Khaldi Holding),sent
2026-07-13,Attar Travel,info@attartravel.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Attar Travel,sent
2026-07-14,Fursan Travel & Tourism,contactus@fursan.com.sa,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Fursan Travel & Tourism,sent
2026-07-14,Al Shallal Theme Park,careers@alshallal.com.sa,hr_director,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Al Shallal Theme Park,sent
2026-07-14,"Tarfeeh Fakieh (Fakieh Aquarium, Al Nawras, Sail Island)",info@tarfeehfakieh.com,hiring_manager,CV-03-Hospitality.pdf,"Senior Digital Marketing Manager — interest in Tarfeeh Fakieh (Fakieh Aquarium, Al Nawras, Sail Island)",sent
2026-07-14,Rawaf Mina for Hajj Services,pmo@rawafmina.sa,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Rawaf Mina for Hajj Services,sent
2026-07-14,MaqamUmrah (B2B Umrah hotel & tour operator),info@maqamumrah.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in MaqamUmrah (B2B Umrah hotel & tour operator),sent
2026-07-14,Discover Saudi DMC (Almosafer / Seera Group),info@discoversaudi.sa,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Discover Saudi DMC (Almosafer / Seera Group),sent
2026-07-14,Husaak Adventures (The Outpost AlUla & Tanomah),saudi@husaak.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Husaak Adventures (The Outpost AlUla & Tanomah),sent
2026-07-14,88 Destinations (El Makkan for Travel and Tours),info@88destinations.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in 88 Destinations (El Makkan for Travel and Tours),sent
2026-07-14,Saudi Arabia Tours,saudiarabiatours.net@gmail.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Saudi Arabia Tours,sent
2026-07-14,Easy Access AlUla (Al-Wassal Al-Mashal Commercial),booking@easyaccessllc.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Easy Access AlUla (Al-Wassal Al-Mashal Commercial),sent
2026-07-14,PinkStone Travel Saudi,info@pinkstonetravelsaudi.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in PinkStone Travel Saudi,sent
2026-07-14,Zahid Travel Group (Go Zahid inbound DMC),gozahid@zahidtravel.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Zahid Travel Group (Go Zahid inbound DMC),sent
2026-07-14,AlUla Guide,sales@alula-guide.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in AlUla Guide,sent
2026-07-14,Saudi Discovery (DMC Arabia network),inquiries@saudidiscovery.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Saudi Discovery (DMC Arabia network),sent
2026-07-14,EXO Travel Saudi Arabia,saudi@exotravel.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in EXO Travel Saudi Arabia,sent
2026-07-14,Tetrapylon Saudi Arabia,saudi@tetrapylon.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Tetrapylon Saudi Arabia,sent
2026-07-14,AlFares International Tours,h.nawar@alfaristours.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in AlFares International Tours,sent
2026-07-15,Athaar Arabia,imad.sulaiman@athaararabia.com,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in Athaar Arabia,sent
2026-07-15,UTA Saudi Arabia (Universal Travel Agency),mahmoud.salameh@uta.com.sa,hiring_manager,CV-03-Hospitality.pdf,Senior Digital Marketing Manager — interest in UTA Saudi Arabia (Universal Travel Agency),sent
2026-07-15,Tamimi ATS (Al-Tamimi Group),recruitment.ats@al-tamimi.com,hr_director,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Tamimi ATS (Al-Tamimi Group),sent
2026-07-15,GO Telecom (Etihad Atheeb Telecom),al.alnajjar@go.com.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in GO Telecom (Etihad Atheeb Telecom),sent
2026-07-15,Abdulmohsen Al-Tamimi Group,info@tamimi.sa,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Abdulmohsen Al-Tamimi Group,sent
2026-07-15,Alesayi Holding,info@alesayi.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Alesayi Holding,sent
2026-07-15,Al Muhaidib Group,info@almuhaidib.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Al Muhaidib Group,sent
2026-07-15,AlBawani Holding,info@albawani.net,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in AlBawani Holding,sent
2026-07-15,Xenel Industries,communications@xenel.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Xenel Industries,sent
2026-07-15,IKK Group (Isam Khairi Kabbani),info@ikkgroup.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in IKK Group (Isam Khairi Kabbani),sent
2026-07-15,Alfozan Holding,info@alfozan.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Alfozan Holding,sent
2026-07-15,Watania Steel,info@wataniasteel.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Watania Steel,sent
2026-07-15,Nesma & Partners,communications@nesmapartners.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Nesma & Partners,sent
2026-07-16,Telfaz11,info@telfaz11.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in Telfaz11,sent
2026-07-16,AFLAM Productions,epic@aflamproductions.com,hiring_manager,CV-08-Generic-Senior-Marketing.pdf,Senior Digital Marketing Manager — interest in AFLAM Productions,sent
